__run_id,__done,model,quantization_level,energy/prompt,energy/token,accuracy,latency/prompt,token/s,VRAM,RAM,OOM
run_5_repetition_6,TODO,Mistral-7B Instruct,q4_0, , , , , , , , 
run_6_repetition_6,TODO,GLM-4 9B Chat,fp16, , , , , , , , 
run_7_repetition_6,TODO,GLM-4 9B Chat,q8_0, , , , , , , , 
run_8_repetition_6,TODO,GLM-4 9B Chat,q4_0, , , , , , , , 
run_0_repetition_7,TODO,Llama-3 8B Instruct,fp16, , , , , , , , 
run_1_repetition_7,TODO,Llama-3 8B Instruct,q8_0, , , , , , , , 
run_2_repetition_7,TODO,Llama-3 8B Instruct,q4_0, , , , , , , , 
run_3_repetition_7,TODO,Mistral-7B Instruct,fp16, , , , , , , , 
run_4_repetition_7,TODO,Mistral-7B Instruct,q8_0, , , , , , , , 
run_5_repetition_7,TODO,Mistral-7B Instruct,q4_0, , , , , , , , 
run_6_repetition_7,TODO,GLM-4 9B Chat,fp16, , , , , , , , 
run_7_repetition_7,TODO,GLM-4 9B Chat,q8_0, , , , , , , , 
run_8_repetition_7,TODO,GLM-4 9B Chat,q4_0, , , , , , , , 
run_0_repetition_8,TODO,Llama-3 8B Instruct,fp16, , , , , , , , 
run_1_repetition_8,TODO,Llama-3 8B Instruct,q8_0, , , , , , , , 
run_2_repetition_8,TODO,Llama-3 8B Instruct,q4_0, , , , , , , , 
run_3_repetition_8,TODO,Mistral-7B Instruct,fp16, , , , , , , , 
run_4_repetition_8,TODO,Mistral-7B Instruct,q8_0, , , , , , , , 
run_5_repetition_8,TODO,Mistral-7B Instruct,q4_0, , , , , , , , 
run_6_repetition_8,TODO,GLM-4 9B Chat,fp16, , , , , , , , 
run_7_repetition_8,TODO,GLM-4 9B Chat,q8_0, , , , , , , , 
run_8_repetition_8,TODO,GLM-4 9B Chat,q4_0, , , , , , , , 
run_0_repetition_9,TODO,Llama-3 8B Instruct,fp16, , , , , , , , 
run_1_repetition_9,TODO,Llama-3 8B Instruct,q8_0, , , , , , , , 
run_2_repetition_9,TODO,Llama-3 8B Instruct,q4_0, , , , , , , , 
run_3_repetition_9,TODO,Mistral-7B Instruct,fp16, , , , , , , , 
run_4_repetition_9,TODO,Mistral-7B Instruct,q8_0, , , , , , , , 
run_5_repetition_9,TODO,Mistral-7B Instruct,q4_0, , , , , , , , 
run_6_repetition_9,TODO,GLM-4 9B Chat,fp16, , , , , , , , 
run_7_repetition_9,TODO,GLM-4 9B Chat,q8_0, , , , , , , , 
run_8_repetition_9,TODO,GLM-4 9B Chat,q4_0, , , , , , , , 
run_0_repetition_10,TODO,Llama-3 8B Instruct,fp16, , , , , , , , 
run_1_repetition_10,TODO,Llama-3 8B Instruct,q8_0, , , , , , , , 
run_2_repetition_10,TODO,Llama-3 8B Instruct,q4_0, , , , , , , , 
run_3_repetition_10,TODO,Mistral-7B Instruct,fp16, , , , , , , , 
run_4_repetition_10,TODO,Mistral-7B Instruct,q8_0, , , , , , , , 
run_5_repetition_10,TODO,Mistral-7B Instruct,q4_0, , , , , , , , 
run_6_repetition_10,TODO,GLM-4 9B Chat,fp16, , , , , , , , 
run_7_repetition_10,TODO,GLM-4 9B Chat,q8_0, , , , , , , , 
run_8_repetition_10,TODO,GLM-4 9B Chat,q4_0, , , , , , , , 
run_0_repetition_11,TODO,Llama-3 8B Instruct,fp16, , , , , , , , 
run_1_repetition_11,TODO,Llama-3 8B Instruct,q8_0, , , , , , , , 
run_2_repetition_11,TODO,Llama-3 8B Instruct,q4_0, , , , , , , , 
run_3_repetition_11,TODO,Mistral-7B Instruct,fp16, , , , , , , , 
run_4_repetition_11,TODO,Mistral-7B Instruct,q8_0, , , , , , , , 
run_5_repetition_11,TODO,Mistral-7B Instruct,q4_0, , , , , , , , 
run_6_repetition_11,TODO,GLM-4 9B Chat,fp16, , , , , , , , 
run_7_repetition_11,TODO,GLM-4 9B Chat,q8_0, , , , , , , , 
run_8_repetition_11,TODO,GLM-4 9B Chat,q4_0, , , , , , , , 
run_0_repetition_12,TODO,Llama-3 8B Instruct,fp16, , , , , , , , 
run_1_repetition_12,TODO,Llama-3 8B Instruct,q8_0, , , , , , , , 
run_2_repetition_12,TODO,Llama-3 8B Instruct,q4_0, , , , , , , , 
run_3_repetition_12,TODO,Mistral-7B Instruct,fp16, , , , , , , , 
run_4_repetition_12,TODO,Mistral-7B Instruct,q8_0, , , , , , , , 
run_5_repetition_12,TODO,Mistral-7B Instruct,q4_0, , , , , , , , 
run_6_repetition_12,TODO,GLM-4 9B Chat,fp16, , , , , , , , 
run_7_repetition_12,TODO,GLM-4 9B Chat,q8_0, , , , , , , , 
run_8_repetition_12,TODO,GLM-4 9B Chat,q4_0, , , , , , , , 
run_0_repetition_13,TODO,Llama-3 8B Instruct,fp16, , , , , , , , 
run_1_repetition_13,TODO,Llama-3 8B Instruct,q8_0, , , , , , , , 
run_2_repetition_13,TODO,Llama-3 8B Instruct,q4_0, , , , , , , , 
run_3_repetition_13,TODO,Mistral-7B Instruct,fp16, , , , , , , , 
run_4_repetition_13,TODO,Mistral-7B Instruct,q8_0, , , , , , , , 
run_5_repetition_13,TODO,Mistral-7B Instruct,q4_0, , , , , , , , 
run_6_repetition_13,TODO,GLM-4 9B Chat,fp16, , , , , , , , 
run_7_repetition_13,TODO,GLM-4 9B Chat,q8_0, , , , , , , , 
run_8_repetition_13,TODO,GLM-4 9B Chat,q4_0, , , , , , , , 
run_0_repetition_14,TODO,Llama-3 8B Instruct,fp16, , , , , , , , 
run_1_repetition_14,TODO,Llama-3 8B Instruct,q8_0, , , , , , , , 
run_2_repetition_14,TODO,Llama-3 8B Instruct,q4_0, , , , , , , , 
run_3_repetition_14,TODO,Mistral-7B Instruct,fp16, , , , , , , , 
run_4_repetition_14,TODO,Mistral-7B Instruct,q8_0, , , , , , , , 
run_5_repetition_14,TODO,Mistral-7B Instruct,q4_0, , , , , , , , 
run_6_repetition_14,TODO,GLM-4 9B Chat,fp16, , , , , , , , 
run_7_repetition_14,TODO,GLM-4 9B Chat,q8_0, , , , , , , , 
run_8_repetition_14,TODO,GLM-4 9B Chat,q4_0, , , , , , , , 
run_0_repetition_15,TODO,Llama-3 8B Instruct,fp16, , , , , , , , 
run_1_repetition_15,TODO,Llama-3 8B Instruct,q8_0, , , , , , , , 
run_2_repetition_15,TODO,Llama-3 8B Instruct,q4_0, , , , , , , , 
run_3_repetition_15,TODO,Mistral-7B Instruct,fp16, , , , , , , , 
run_4_repetition_15,TODO,Mistral-7B Instruct,q8_0, , , , , , , , 
run_5_repetition_15,TODO,Mistral-7B Instruct,q4_0, , , , , , , , 
run_6_repetition_15,TODO,GLM-4 9B Chat,fp16, , , , , , , , 
run_7_repetition_15,TODO,GLM-4 9B Chat,q8_0, , , , , , , , 
run_8_repetition_15,TODO,GLM-4 9B Chat,q4_0, , , , , , , , 
run_0_repetition_16,TODO,Llama-3 8B Instruct,fp16, , , , , , , , 
run_1_repetition_16,TODO,Llama-3 8B Instruct,q8_0, , , , , , , , 
run_2_repetition_16,TODO,Llama-3 8B Instruct,q4_0, , , , , , , , 
run_3_repetition_16,TODO,Mistral-7B Instruct,fp16, , , , , , , , 
run_4_repetition_16,TODO,Mistral-7B Instruct,q8_0, , , , , , , , 
run_5_repetition_16,TODO,Mistral-7B Instruct,q4_0, , , , , , , , 
run_6_repetition_16,TODO,GLM-4 9B Chat,fp16, , , , , , , , 
run_7_repetition_16,TODO,GLM-4 9B Chat,q8_0, , , , , , , , 
run_8_repetition_16,TODO,GLM-4 9B Chat,q4_0, , , , , , , , 
run_0_repetition_17,TODO,Llama-3 8B Instruct,fp16, , , , , , , , 
run_1_repetition_17,TODO,Llama-3 8B Instruct,q8_0, , , , , , , , 
run_2_repetition_17,TODO,Llama-3 8B Instruct,q4_0, , , , , , , , 
run_3_repetition_17,TODO,Mistral-7B Instruct,fp16, , , , , , , , 
run_4_repetition_17,TODO,Mistral-7B Instruct,q8_0, , , , , , , , 
run_5_repetition_17,TODO,Mistral-7B Instruct,q4_0, , , , , , , , 
run_6_repetition_17,TODO,GLM-4 9B Chat,fp16, , , , , , , , 
run_7_repetition_17,TODO,GLM-4 9B Chat,q8_0, , , , , , , , 
run_8_repetition_17,TODO,GLM-4 9B Chat,q4_0, , , , , , , , 
run_0_repetition_18,TODO,Llama-3 8B Instruct,fp16, , , , , , , , 
run_1_repetition_18,TODO,Llama-3 8B Instruct,q8_0, , , , , , , , 
run_2_repetition_18,TODO,Llama-3 8B Instruct,q4_0, , , , , , , , 
run_3_repetition_18,TODO,Mistral-7B Instruct,fp16, , , , , , , , 
run_4_repetition_18,TODO,Mistral-7B Instruct,q8_0, , , , , , , , 
run_5_repetition_18,TODO,Mistral-7B Instruct,q4_0, , , , , , , , 
run_6_repetition_18,TODO,GLM-4 9B Chat,fp16, , , , , , , , 
run_7_repetition_18,TODO,GLM-4 9B Chat,q8_0, , , , , , , , 
run_8_repetition_18,TODO,GLM-4 9B Chat,q4_0, , , , , , , , 
run_0_repetition_19,TODO,Llama-3 8B Instruct,fp16, , , , , , , , 
run_1_repetition_19,TODO,Llama-3 8B Instruct,q8_0, , , , , , , , 
run_2_repetition_19,TODO,Llama-3 8B Instruct,q4_0, , , , , , , , 
run_3_repetition_19,TODO,Mistral-7B Instruct,fp16, , , , , , , , 
run_4_repetition_19,TODO,Mistral-7B Instruct,q8_0, , , , , , , , 
run_5_repetition_19,TODO,Mistral-7B Instruct,q4_0, , , , , , , , 
run_6_repetition_19,TODO,GLM-4 9B Chat,fp16, , , , , , , , 
run_7_repetition_19,TODO,GLM-4 9B Chat,q8_0, , , , , , , , 
run_8_repetition_19,TODO,GLM-4 9B Chat,q4_0, , , , , , , , 
